Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,category
Certain Religious Workers,C,C,4/1/20,C,C,C,11/8/17,C,8/1/22,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,C,C,C,11/22/15,C,C,C,8/1/22,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,8/1/22,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,8/1/22,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,8/1/22,5th Set Aside
1st,C,C,C,C,C,C,C,C,9/1/22,1st
2nd,C,12/1/14,C,C,4/1/19,C,C,C,9/1/22,2nd
3rd,C,2/15/12,C,C,4/22/18,C,C,C,9/1/22,3rd
Other Workers,5/8/19,2/15/12,5/8/19,5/8/19,6/1/12,C,5/8/19,C,9/1/22,Other Workers
4th,C,C,4/1/20,C,C,C,11/8/17,C,9/1/22,4th
Certain Religious Workers,C,C,4/1/20,C,C,C,11/8/17,C,9/1/22,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,C,C,C,12/22/15,C,C,C,9/1/22,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,9/1/22,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,9/1/22,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,9/1/22,5th Set Aside
1st,C,C,C,C,C,C,C,C,10/1/22,1st
2nd,C,4/1/12,C,C,6/8/19,C,C,C,10/1/22,2nd
3rd,C,4/1/12,C,C,6/15/18,C,C,C,10/1/22,3rd
Other Workers,6/1/20,4/1/12,6/1/20,6/1/20,9/1/12,C,6/1/20,C,10/1/22,Other Workers
4th,C,C,9/15/20,C,C,C,3/15/18,C,10/1/22,4th
Certain Religious Workers,U,U,U,U,U,C,U,C,10/1/22,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,11/8/19,C,C,3/22/15,C,C,C,10/1/22,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,10/1/22,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,10/1/22,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,10/1/22,5th Set Aside
1st,C,C,C,C,C,C,C,C,11/1/22,1st
2nd,C,4/1/12,C,C,6/8/19,C,C,C,11/1/22,2nd
3rd,C,4/1/12,C,C,6/15/18,C,C,C,11/1/22,3rd
Other Workers,6/1/20,4/1/12,6/1/20,6/1/20,12/1/12,C,6/1/20,C,11/1/22,Other Workers
4th,C,C,9/15/20,C,C,C,3/15/18,C,11/1/22,4th
Certain Religious Workers,C,C,9/15/20,C,C,C,3/15/18,C,11/1/22,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,11/8/19,C,C,3/22/15,C,C,C,11/1/22,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,11/1/22,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,11/1/22,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,11/1/22,5th Set Aside
1st,C,C,C,C,C,C,C,C,12/1/22,1st
2nd,11/1/22,10/8/11,11/1/22,11/1/22,6/8/19,C,11/1/22,C,12/1/22,2nd
3rd,C,6/15/12,C,C,8/1/18,C,C,C,12/1/22,3rd
Other Workers,6/1/20,6/15/12,6/1/20,6/1/20,6/22/13,C,6/1/20,C,12/1/22,Other Workers
4th,6/22/22,6/22/22,9/15/20,6/22/22,6/22/22,C,3/15/18,C,12/1/22,4th
Certain Religious Workers,6/22/22,6/22/22,9/15/20,6/22/22,6/22/22,C,3/15/18,C,12/1/22,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,11/8/19,C,C,3/22/15,C,C,C,12/1/22,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,12/1/22,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,12/1/22,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,12/1/22,5th Set Aside
1st,C,2/1/22,C,C,2/1/22,C,C,C,1/1/23,1st
2nd,11/1/22,10/8/11,11/1/22,11/1/22,6/8/19,C,11/1/22,C,1/1/23,2nd
3rd,C,6/15/12,C,C,8/1/18,C,C,C,1/1/23,3rd
Other Workers,6/1/20,6/15/12,6/1/20,6/1/20,12/22/13,C,6/1/20,C,1/1/23,Other Workers
4th,6/22/22,6/22/22,9/15/20,6/22/22,6/22/22,C,3/15/18,C,1/1/23,4th
Certain Religious Workers,U,U,U,U,U,C,U,C,1/1/23,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,11/8/19,C,C,3/22/15,C,C,C,1/1/23,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,1/1/23,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,1/1/23,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,1/1/23,5th Set Aside
1st,C,2/1/22,C,C,2/1/22,C,C,C,2/1/23,1st
2nd,11/1/22,10/8/11,11/1/22,11/1/22,6/8/19,C,11/1/22,C,2/1/23,2nd
3rd,C,6/15/12,C,C,8/1/18,C,C,C,2/1/23,3rd
Other Workers,1/1/20,6/15/12,1/1/20,1/1/20,12/22/13,C,1/1/20,C,2/1/23,Other Workers
4th,6/22/22,6/22/22,9/15/20,6/22/22,6/22/22,C,3/15/18,C,2/1/23,4th
Certain Religious Workers,6/22/22,6/22/22,9/15/20,6/22/22,6/22/22,C,3/15/18,C,2/1/23,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,11/8/19,C,C,3/22/15,C,C,C,2/1/23,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,2/1/23,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,2/1/23,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,2/1/23,5th Set Aside
1st,C,2/1/22,C,C,2/1/22,C,C,C,3/1/23,1st
2nd,11/1/22,10/8/11,11/1/22,11/1/22,6/8/19,C,11/1/22,C,3/1/23,2nd
3rd,C,6/15/12,C,C,8/1/18,C,C,C,3/1/23,3rd
Other Workers,1/1/20,6/15/12,1/1/20,1/1/20,7/1/14,C,1/1/20,C,3/1/23,Other Workers
4th,2/1/22,3/1/21,8/1/20,2/1/22,2/1/22,C,3/15/18,C,3/1/23,4th
Certain Religious Workers,2/1/22,3/1/21,8/1/20,2/1/22,2/1/22,C,3/15/18,C,3/1/23,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,6/1/18,C,C,7/8/15,C,C,C,3/1/23,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,3/1/23,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,3/1/23,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,3/1/23,5th Set Aside
1st,C,2/1/22,C,C,2/1/22,C,C,C,4/1/23,1st
2nd,7/1/22,1/1/11,7/1/22,7/1/22,6/8/19,C,C,C,4/1/23,2nd
3rd,C,6/15/12,C,C,11/1/18,C,C,C,4/1/23,3rd
Other Workers,1/1/20,6/15/12,1/1/20,1/1/20,10/1/14,C,C,C,4/1/23,Other Workers
4th,9/1/18,9/1/18,9/1/18,9/1/18,9/1/18,C,C,C,4/1/23,4th
Certain Religious Workers,9/1/18,9/1/18,9/1/18,9/1/18,9/1/18,C,C,C,4/1/23,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,6/1/18,C,C,7/8/15,C,C,C,4/1/23,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,4/1/23,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,4/1/23,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,4/1/23,5th Set Aside
1st,C,2/1/22,C,C,2/1/22,C,C,C,5/1/23,1st
2nd,2/15/22,1/1/11,2/15/22,2/15/22,6/8/19,C,C,C,5/1/23,2nd
3rd,6/1/22,6/15/12,6/1/22,6/1/22,4/1/19,C,C,C,5/1/23,3rd
Other Workers,1/1/20,6/15/12,1/1/20,1/1/20,4/15/15,C,C,C,5/1/23,Other Workers
4th,9/1/18,9/1/18,9/1/18,9/1/18,9/1/18,C,C,C,5/1/23,4th
Certain Religious Workers,9/1/18,9/1/18,9/1/18,9/1/18,9/1/18,C,C,C,5/1/23,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,6/1/18,C,C,9/8/15,C,C,C,5/1/23,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,5/1/23,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,5/1/23,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,5/1/23,5th Set Aside
1st,C,2/1/22,C,C,2/1/22,C,C,C,6/1/23,1st
2nd,2/15/22,1/1/11,2/15/22,2/15/22,6/8/19,C,C,C,6/1/23,2nd
3rd,6/1/22,6/15/12,6/1/22,6/1/22,4/1/19,C,C,C,6/1/23,3rd
Other Workers,1/1/20,6/15/12,1/1/20,1/1/20,9/1/15,C,C,C,6/1/23,Other Workers
4th,9/1/18,9/1/18,9/1/18,9/1/18,9/1/18,C,C,C,6/1/23,4th
Certain Religious Workers,9/1/18,9/1/18,9/1/18,9/1/18,9/1/18,C,C,C,6/1/23,Certain Religious Workers
"5th Unreserved (including C5, T5, I5, R5)",C,4/1/17,C,C,9/8/15,C,C,C,6/1/23,5th Unreserved
5th Set Aside: Rural (20%),C,C,C,C,C,C,C,C,6/1/23,5th Set Aside
5th Set Aside: High Unemployment (10%),C,C,C,C,C,C,C,C,6/1/23,5th Set Aside
5th Set Aside: Infrastructure (2%),C,C,C,C,C,C,C,C,6/1/23,5th Set Aside
